Date District Total Confirmed Asymptomatic
2022-04-20 杨浦区 2005 202 1803
2022-04-20 宝山区 833 107 726
2022-04-20 闵行区 1686 291 1395
2022-04-20 嘉定区 649 82 567
2022-04-20 金山区 17 16 1
2022-04-20 松江区 676 165 511
2022-04-20 青浦区 280 120 160
2022-04-20 奉贤区 32 6 26
2022-04-20 崇明区 65 8 57
2022-04-21 浦东新区 4655 409 4246
2022-04-21 黄浦区 1752 192 1560
2022-04-21 静安区 2064 150 1914
2022-04-21 徐汇区 1366 347 1019
2022-04-21 长宁区 496 85 411
2022-04-21 普陀区 489 94 395
2022-04-21 虹口区 885 103 782
2022-04-21 杨浦区 543 54 489
2022-04-21 宝山区 978 136 842
2022-04-21 闵行区 2563 153 2410
2022-04-21 嘉定区 776 80 696
2022-04-21 金山区 30 8 22
2022-04-21 松江区 493 22 471
2022-04-21 青浦区 385 60 325
2022-04-21 奉贤区 34 14 20
2022-04-21 崇明区 120 24 96
2022-04-22 浦东新区 7961 704 7257
2022-04-22 黄浦区 2843 435 2408
2022-04-22 静安区 786 76 710
2022-04-22 徐汇区 1275 123 1152
2022-04-22 长宁区 713 164 549
2022-04-22 普陀区 523 71 452
2022-04-22 虹口区 997 428 569
2022-04-22 杨浦区 1356 88 1268
2022-04-22 宝山区 2033 179 1854
2022-04-22 闵行区 1305 208 1097
2022-04-22 嘉定区 500 76 424
2022-04-22 金山区 26 0 26
2022-04-22 松江区 2568 120 2448
2022-04-22 青浦区 359 44 315
2022-04-22 奉贤区 8 6 2
2022-04-22 崇明区 117 14 103
2022-04-23 浦东新区 7626 541 7085
2022-04-23 黄浦区 1959 96 1863
2022-04-23 静安区 471 40 431
2022-04-23 徐汇区 1722 91 1631
2022-04-23 长宁区 727 69 658
2022-04-23 普陀区 478 39 439
2022-04-23 虹口区 819 82 737
2022-04-23 杨浦区 1277 42 1235
2022-04-23 宝山区 2886 135 2751
2022-04-23 闵行区 877 108 769
2022-04-23 嘉定区 751 73 678
2022-04-23 金山区 44 0 44
2022-04-23 松江区 773 32 741
2022-04-23 青浦区 424 26 398
2022-04-23 奉贤区 16 1 15
2022-04-23 崇明区 208 26 182
2022-04-24 浦东新区 6181 874 5307
2022-04-24 黄浦区 1755 317 1438
2022-04-24 静安区 1702 142 1560
2022-04-24 徐汇区 1396 228 1168
2022-04-24 长宁区 749 76 673
2022-04-24 普陀区 477 43 434
2022-04-24 虹口区 655 106 549
2022-04-24 杨浦区 1235 75 1160
2022-04-24 宝山区 2506 135 2371
2022-04-24 闵行区 1229 143 1086
2022-04-24 嘉定区 601 132 469
2022-04-24 金山区 68 0 68
2022-04-24 松江区 548 166 382
2022-04-24 青浦区 251 8 243
2022-04-24 奉贤区 7 0 7
2022-04-24 崇明区 95 27 68
2022-04-25 浦东新区 3912 292 3620
2022-04-25 黄浦区 2671 156 2515
2022-04-25 静安区 1016 131 885
2022-04-25 徐汇区 1341 209 1132
2022-04-25 长宁区 534 97 437
2022-04-25 普陀区 418 47 371
2022-04-25 虹口区 1270 138 1132
2022-04-25 杨浦区 1244 65 1179
2022-04-25 宝山区 1786 216 1570
2022-04-25 闵行区 717 61 656
2022-04-25 嘉定区 543 58 485
2022-04-25 金山区 22 0 22
2022-04-25 松江区 641 108 533
2022-04-25 青浦区 379 44 335
2022-04-25 奉贤区 12 3 9
2022-04-25 崇明区 474 36 438
2022-04-26 浦东新区 2745 206 2539
2022-04-26 黄浦区 1228 301 927
2022-04-26 静安区 1394 145 1249
2022-04-26 徐汇区 904 173 731
2022-04-26 长宁区 419 64 355
2022-04-26 普陀区 365 104 261
2022-04-26 虹口区 1136 37 1099
2022-04-26 杨浦区 1106 47 1059
2022-04-26 宝山区 1976 295 1681
2022-04-26 闵行区 749 71 678
2022-04-26 嘉定区 434 89 345
2022-04-26 金山区 28 2 26
2022-04-26 松江区 287 29 258
2022-04-26 青浦区 311 27 284
2022-04-26 奉贤区 13 2 11
2022-04-26 崇明区 467 14 453
2022-04-27 浦东新区 2993 534 2459
2022-04-27 黄浦区 1452 135 1317
2022-04-27 静安区 1089 32 1057
2022-04-27 徐汇区 552 212 340
2022-04-27 长宁区 208 19 189
2022-04-27 普陀区 301 24 277
2022-04-27 虹口区 1091 68 1023
2022-04-27 杨浦区 526 60 466
2022-04-27 宝山区 1115 52 1063
2022-04-27 闵行区 321 51 270
2022-04-27 嘉定区 292 13 279
2022-04-27 金山区 41 10 31
2022-04-27 松江区 231 52 179
2022-04-27 青浦区 208 4 204
2022-04-27 奉贤区 3 0 3
2022-04-27 崇明区 199 26 173
2022-04-28 浦东新区 3472 1456 2016
2022-04-28 黄浦区 2656 1370 1286
2022-04-28 静安区 1364 349 1015
2022-04-28 徐汇区 1580 527 1053
2022-04-28 长宁区 647 263 384
2022-04-28 普陀区 235 96 139
2022-04-28 虹口区 1374 469 905
2022-04-28 杨浦区 808 75 733
2022-04-28 宝山区 1243 277 966
2022-04-28 闵行区 422 70 352
